filename,publisher,raw_count,total,ag_share
allafrica_2002.csv,malawi insider (blantyre),2,2,1.0
allafrica_2002.csv,moneyweb (johannesburg),1,3,0.333
allafrica_2002.csv,mopheme/the survivor (maseru),1,1,1.0
allafrica_2002.csv,new vision (kampala),61,71,0.859
allafrica_2002.csv,newswatch (lagos),4,6,0.667
allafrica_2002.csv,p.m. news (lagos),5,10,0.5
allafrica_2002.csv,public agenda (accra),2,2,1.0
allafrica_2002.csv,standard times (freetown),1,1,1.0
allafrica_2002.csv,sunday times (johannesburg),4,4,1.0
allafrica_2002.csv,tempo (lagos),3,6,0.5
allafrica_2002.csv,the daily news (harare),28,29,0.966
allafrica_2002.csv,the east african (nairobi),4,4,1.0
allafrica_2002.csv,the east african standard (nairobi),8,9,0.889
allafrica_2002.csv,the herald (harare),34,39,0.872
allafrica_2002.csv,the independent (banjul),1,1,1.0
allafrica_2002.csv,the insider (harare),2,2,1.0
allafrica_2002.csv,the monitor (kampala),17,23,0.739
allafrica_2002.csv,the namibian (windhoek),1,2,0.5
allafrica_2002.csv,the nation (nairobi),12,14,0.857
allafrica_2002.csv,the news (lagos),4,6,0.667
allafrica_2002.csv,the news (monrovia),4,4,1.0
allafrica_2002.csv,"the perspective (smyrna, georgia)",3,4,0.75
allafrica_2002.csv,the post (lusaka),7,7,1.0
allafrica_2002.csv,the times of zambia (ndola),4,5,0.8
allafrica_2002.csv,this day (lagos),48,77,0.623
allafrica_2002.csv,un integrated regional information networks,40,43,0.93
allafrica_2002.csv,united nations world food programme (rome),3,3,1.0
allafrica_2002.csv,"united states department of state (washington, dc)",1,1,1.0
allafrica_2002.csv,vanguard (lagos),19,30,0.633
allafrica_2002.csv,weekly trust (abuja),2,3,0.667
allafrica_2002.csv,world organisation against torture (geneva),1,1,1.0
allafrica_2002.csv,zimbabwe independent (harare),2,3,0.667
allafrica_2002.csv,zimbabwe standard (harare),2,5,0.4
allafrica_2003.csv,accra mail (accra),22,29,0.759
